Rank|School|Win Percentage
1|Houston|96.1538461538
2|Nevada|96.0
3|Gonzaga|92.5925925926
4|Duke|92.0
|Tennessee|92.0
6|Virginia|91.6666666667
7|Michigan|88.4615384615
8|Buffalo|88.0
9|Wofford|85.1851851852
10|N. Mex. St.|84.6153846154
11|LSU|84.0
|Marquette|84.0
|Murray St.|84.0
|Kentucky|84.0
|Cincinnati|84.0
|Belmont|84.0
17|Liberty|82.1428571429
18|UC Irvine|81.4814814815
|Furman|81.4814814815
|UNC-Green.|81.4814814815
|Hofstra|81.4814814815
22|Yale|80.9523809524
23|Texas St.|80.7692307692
|Stony Brook|80.7692307692
|Michigan St.|80.7692307692
|Lipscomb|80.7692307692
|Vermont|80.7692307692
|Abil Christian|80.7692307692
|Texas Tech|80.7692307692
30|Toledo|80.0
|Washington|80.0
|Iowa|80.0
|Florida St.|80.0
|North Carolina|80.0
|Virginia Tech|80.0
36|UCF|79.1666666667
37|Old Dominion|77.7777777778
38|Villanova|76.9230769231
|Utah St.|76.9230769231
|San Fran.|76.9230769231
|Kansas|76.9230769231
42|Fresno St.|76.0
|Kent St.|76.0
|Davidson|76.0
|Kansas St.|76.0
|VCU|76.0
|Iowa St.|76.0
|Montana|76.0
49|Charleston|75.0
|ETSU|75.0
|S. Dak. St.|75.0
52|North Texas|74.0740740741
|Drake|74.0740740741
|N. Kentucky|74.0740740741
55|Maryland|73.0769230769
|Temple|73.0769230769
|St. John&#039;s|73.0769230769
58|Bowling Green|72.0
|Ole Miss|72.0
|Miss. State|72.0
|Purdue|72.0
62|Jax. State|70.3703703704
|Austin Peay|70.3703703704
64|Louisville|69.2307692308
|Georgia St.|69.2307692308
|Radford|69.2307692308
|NC State|69.2307692308
68|Lehigh|68.0
|UCSB|68.0
|Auburn|68.0
|Wisconsin|68.0
|TCU|68.0
|Arizona St.|68.0
|Utah Valley|68.0
|South Florida|68.0
|Syracuse|68.0
|C. Michigan|68.0
78|N.J. Tech|66.6666666667
|Oregon St.|66.6666666667
80|So. Miss|65.3846153846
|Winthrop|65.3846153846
|Minnesota|65.3846153846
|N. Colorado|65.3846153846
|Saint Louis|65.3846153846
|Bucknell|65.3846153846
|Sam Houston|65.3846153846
|Duquesne|65.3846153846
88|BYU|64.2857142857
89|Baylor|64.0
|Neb.-Omaha|64.0
|San Diego St|64.0
|Colorado|64.0
|Hawaii|64.0
|Seton Hall|64.0
|Ohio St.|64.0
|Dayton|64.0
97|LMU|62.962962963
|Gardner-Webb|62.962962963
|UMBC|62.962962963
|Saint Mary&#039;s|62.962962963
|Colgate|62.962962963
|Louisiana Tech|62.962962963
103|Brown|62.5
|Penn|62.5
105|Harvard|61.9047619048
|Princeton|61.9047619048
107|Northeastern|61.5384615385
|Weber St.|61.5384615385
|Oklahoma|61.5384615385
|Tulsa|61.5384615385
|Ga. Southern|61.5384615385
|Cal-Baker.|61.5384615385
113|PFW|60.7142857143
114|Louisiana|60.0
|Alabama|60.0
|Grand Canyon|60.0
|Clemson|60.0
|Oregon|60.0
|Georgetown|60.0
120|UAB|59.2592592593
|FIU|59.2592592593
|San Diego|59.2592592593
|Wright St.|59.2592592593
|Samford|59.2592592593
|W. Kentucky|59.2592592593
|Loyola-Chi.|59.2592592593
|FAU|59.2592592593
|St. Fran.-NY|59.2592592593
129|New Orleans|58.3333333333
|Cal Baptist|58.3333333333
131|Memphis|57.6923076923
|Norfolk St.|57.6923076923
|Nebraska|57.6923076923
|Texas|57.6923076923
|Butler|57.6923076923
|Campbell|57.6923076923
|George Mason|57.6923076923
138|Presbyterian|57.1428571429
|Delaware|57.1428571429
140|Akron|56.0
|NC A&amp;T|56.0
|Florida|56.0
|St. Fran.-Pa.|56.0
|Ball St.|56.0
|Quinnipiac|56.0
|Arkansas|56.0
|UNLV|56.0
|Utah|56.0
|Stanford|56.0
150|Missouri St.|55.5555555556
|Bradley|55.5555555556
152|Boston College|54.1666666667
|DePaul|54.1666666667
|UL-Monroe|54.1666666667
|SF Austin|54.1666666667
|Texas So.|54.1666666667
|Cornell|54.1666666667
158|Lamar|53.8461538462
|Arizona|53.8461538462
|Providence|53.8461538462
|High Point|53.8461538462
|USC|53.8461538462
163|UT-Rio Grande Valley|53.5714285714
|Longwood|53.5714285714
165|Indiana|52.0
|Seattle|52.0
|American|52.0
|Notre Dame|52.0
|Wagner|52.0
|South Carolina|52.0
|Grambling|52.0
|Miami (Ohio)|52.0
|Connecticut|52.0
174|Ill.-Chicago|51.8518518519
|Rider|51.8518518519
|Marshall|51.8518518519
|S. Illinois|51.8518518519
|IUPUI|51.8518518519
|UMass Lowell|51.8518518519
|Santa Clara|51.8518518519
|Holy Cross|51.8518518519
|E. Illinois|51.8518518519
|N. Dakota St.|51.8518518519
|Green Bay|51.8518518519
|Illinois St.|51.8518518519
186|Xavier|50.0
|F. Dickinson|50.0
|UCLA|50.0
|SMU|50.0
|Creighton|50.0
|Prairie View|50.0
|Indiana St.|50.0
|Hartford|50.0
|SE Louisiana|50.0
|Coastal Carolina|50.0
|So. Utah|50.0
|Missouri|50.0
|Rhode Island|50.0
|Wichita St.|50.0
200|Robert Morris|48.1481481481
|Pacific|48.1481481481
|Valparaiso|48.1481481481
|Siena|48.1481481481
204|CSFullerton|48.0
|Montana St.|48.0
|Northwestern|48.0
|Charleston So.|48.0
|Rutgers|48.0
209|Sacramento St.|47.8260869565
210|NC Central|46.1538461538
|Canisius|46.1538461538
|Howard|46.1538461538
|Marist|46.1538461538
|South Alabama|46.1538461538
|LIU-Brooklyn|46.1538461538
|N. Illinois|46.1538461538
|UT-Arlington|46.1538461538
|Pittsburgh|46.1538461538
|Bethune-Cook.|46.1538461538
220|Dartmouth|45.8333333333
|Ohio|45.8333333333
222|Pepperdine|44.4444444444
|Northern Iowa|44.4444444444
|Niagara|44.4444444444
|James Madison|44.4444444444
|Army|44.4444444444
|Jacksonville|44.4444444444
|Sacred Heart|44.4444444444
229|E. Michigan|44.0
|Portland St.|44.0
|Miami (Fla.)|44.0
|St. Bona.|44.0
|The Citadel|44.0
|New Mexico|44.0
|Troy|44.0
|Nicholls St.|44.0
|Fordham|44.0
238|Alabama St.|43.4782608696
239|North Florida|42.8571428571
|Drexel|42.8571428571
|Boston U.|42.8571428571
|Youngstown St.|42.8571428571
|Oakland|42.8571428571
244|Georgia Tech|42.3076923077
|Ark.-Pine Bluff|42.3076923077
|Saint Joseph&#039;s|42.3076923077
|Arkansas St.|42.3076923077
|Boise St.|42.3076923077
249|Texas A&amp;M|41.6666666667
|UC Davis|41.6666666667
251|Chattanooga|40.7407407407
|E. Kentucky|40.7407407407
|Florida A&amp;M|40.7407407407
|CCSU|40.7407407407
255|Texas A&amp;M-CC|40.0
|UT Martin|40.0
|Richmond|40.0
|Washington St.|40.0
|Illinois|40.0
|West Virginia|40.0
|South Dakota|40.0
|Cent. Arkansas|40.0
|Iona|40.0
|Georgia|40.0
|Hampton|40.0
|Air Force|40.0
267|FGCU|39.2857142857
268|Houston Bap.|39.1304347826
269|UMKC|38.4615384615
|North Dakota|38.4615384615
|William &amp; Mary|38.4615384615
|Northwestern St.|38.4615384615
|Little Rock|38.4615384615
|CSNorthridge |38.4615384615
275|Wake Forest|37.5
|Idaho St.|37.5
|E. Washington|37.5
278|Morehead St.|37.037037037
|Towson|37.037037037
|Rice|37.037037037
|Evansville|37.037037037
|Detroit|37.037037037
283|Penn St.|36.0
|Vanderbilt|36.0
|Jackson St.|36.0
|Oklahoma St.|36.0
|East Carolina|36.0
|Lafayette|36.0
|Colorado St.|36.0
|Navy|36.0
|Savannah St.|36.0
|App. St.|36.0
|Massachusetts|36.0
294|Monmouth|35.7142857143
295|Mercer|34.6153846154
|Albany|34.6153846154
|Manhattan|34.6153846154
298|Oral Roberts|34.4827586207
299|LBSU|33.3333333333
|Morgan St.|33.3333333333
|La Salle|33.3333333333
|UC Riverside|33.3333333333
|Loyola-Md.|33.3333333333
|SE Missouri St.|33.3333333333
|Milwaukee|33.3333333333
306|UNC-Wilm.|32.1428571429
307|UTEP|32.0
|Alcorn St.|32.0
|W. Illinois|32.0
|Bryant|32.0
|N. Arizona|32.0
312|W. Michigan|30.7692307692
|SIUE|30.7692307692
|Tennessee St.|30.7692307692
315|N. Alabama|29.6296296296
|Elon|29.6296296296
|Middle Tenn.|29.6296296296
318|Clev. St.|28.5714285714
319|McNeese St.|28.0
|George Wash.|28.0
321|Columbia|27.2727272727
322|Denver|26.9230769231
|VMI|26.9230769231
|Binghamton|26.9230769231
325|Tenn. Tech|25.9259259259
|Portland|25.9259259259
|Fairfield|25.9259259259
|Mt St Mary&#039;s|25.9259259259
329|W. Carolina|25.0
330|Charlotte|24.0
|Incarnate Word|24.0
|St. Peter&#039;s|24.0
|Wyoming|24.0
334|Coppin St.|22.2222222222
|Stetson|22.2222222222
|SC State|22.2222222222
337|Cal Poly|21.7391304348
338|SC Upstate|21.4285714286
339|California|20.0
340|Alabama A&amp;M|19.2307692308
341|Maine|18.5185185185
|Kennesaw St.|18.5185185185
343|Tulane|16.6666666667
|Delaware St.|16.6666666667
|Idaho|16.6666666667
346|Southern U.|16.0
347|Miss Valley St.|15.3846153846
|UNC-Ash.|15.3846153846
349|Md.-E. Shore|14.2857142857
350|San Jose St.|12.5
351|New Hamp.|12.0
352|Chicago St.|11.5384615385
